% Model,RLM_v11.mph
% Version,COMSOL 4.3.0.151
% Date,"Nov 17 2015, 11:15"
% Table,Table 3 - Phase A Flux Linkage (-Az*nc*(L+5*taus+Lec)/(bs*hs*kfill/2))
% Im,-Az*nc*(L+5*taus+Lec)/(bs*hs*kfill/2) (Wb)
-2.5,-0.2327406248906814
-2.3,-0.2283875270120853
-2.1,-0.22362334557766142
-1.9,-0.21713370973192106
-1.7,-0.2098441682820542
-1.5,-0.1978243428287746
-1.2999999999999998,-0.18386681100284138
-1.0999999999999999,-0.16546833555358628
-0.8999999999999999,-0.14049983525146023
-0.7,-0.110751126446283
-0.5,-0.07897616786691604
-0.2999999999999998,-0.04738570072014991
-0.09999999999999964,-0.015795233573383055
0.10000000000000009,0.01579523357338313
0.30000000000000027,0.04738570072014997
0.5,0.07897616786691622
0.7000000000000002,0.11054209000687253
0.9000000000000004,0.1402652712882353
1.1,0.1652556411087769
1.3000000000000003,0.1839564855936951
1.5,0.19812381333026147
1.7000000000000002,0.2093208252082206
1.9000000000000004,0.21714112642263086
2.1000000000000005,0.22325776818343043
2.3000000000000007,0.22852430674038335
2.5,0.23274029857246192
