% Model,RLM_v11.mph
% Version,COMSOL 4.3.0.151
% Date,"Nov 17 2015, 23:34"
% Table,Table 3 - Phase A Flux Linkage (-Az*nc*(L+5*taus+Lec)/(bs*hs*kfill/2))
% Im,-Az*nc*(L+5*taus+Lec)/(bs*hs*kfill/2) (Wb)
-2.5,-0.10381342603888244
-2.3,-0.09664268382306589
-2.1,-0.08921000914390226
-1.9,-0.08183999804745183
-1.7,-0.07437164626283062
-1.5,-0.06694488113534909
-1.2999999999999998,-0.05939849895049072
-1.0999999999999999,-0.051490824693881054
-0.8999999999999999,-0.04313646841736344
-0.7,-0.033925229164651155
-0.5,-0.024279783548323212
-0.2999999999999998,-0.014574083450507985
-0.09999999999999964,-0.004858027816835393
0.10000000000000009,0.004858027816835445
0.30000000000000027,0.014574083450507995
0.5,0.02428578630984098
0.7000000000000002,0.03390080948110673
0.9000000000000004,0.04314731889541537
1.1,0.05146764320085409
1.3000000000000003,0.05939439533607678
1.5,0.06697492482757046
1.7000000000000002,0.07442700891115482
1.9000000000000004,0.08183780038589807
2.1000000000000005,0.08910577724867991
2.3000000000000007,0.09650174567546621
2.5,0.10382680904612811
