% Model,RLM_v11.mph
% Version,COMSOL 4.3.0.151
% Date,"Nov 18 2015, 00:19"
% Table,Table 3 - Phase A Flux Linkage (-Az*nc*(L+5*taus+Lec)/(bs*hs*kfill/2))
% Im,-Az*nc*(L+5*taus+Lec)/(bs*hs*kfill/2) (Wb)
-2.5,-0.5062399774050317
-2.3,-0.4973018913163822
-2.1,-0.4855563482949999
-1.9,-0.4723460716843966
-1.7,-0.4557074601471075
-1.5,-0.4287237984334078
-1.2999999999999998,-0.3898012844187416
-1.0999999999999999,-0.33707370859414837
-0.8999999999999999,-0.27634228223629
-0.7,-0.21497422943034583
-0.5,-0.15355883692232186
-0.2999999999999998,-0.09213001372383771
-0.09999999999999964,-0.03071103828420129
0.10000000000000009,0.030711038284201374
0.30000000000000027,0.09213311485260453
0.5,0.1535551914210064
0.7000000000000002,0.21497419492303693
0.9000000000000004,0.27634246777231947
1.1,0.3370791042264105
1.3000000000000003,0.3897747846577688
1.5,0.429353222457257
1.7000000000000002,0.4556482603988704
1.9000000000000004,0.4725626589200233
2.1000000000000005,0.4855829005011071
2.3000000000000007,0.49791340802159245
2.5,0.5063100568259463
