% Model,RLM_v8.mph
% Version,COMSOL 4.3.0.151
% Date,"Oct 6 2015, 20:21"
% Table,Table 4 - Axis Inductance ((-Az*nc*(L+5*taus+Lec)/(bs*hs*kfill/2))/Im)
% Im,(-Az*nc*(L+5*taus+Lec)/(bs*hs*kfill/2))/Im (H)
0.2,0.16590548544281497
0.5111111111111111,0.16590548544281541
0.8222222222222222,0.16589138007241436
1.1333333333333333,0.16378598080300533
1.4444444444444444,0.1533069977012092
1.7555555555555555,0.1369310033647857
2.066666666666667,0.1223869002827814
2.377777777777778,0.10977377146148223
2.688888888888889,0.09969248372371207
3,0.09166854490515701
