% Model,RLM_v8.mph
% Version,COMSOL 4.3.0.151
% Date,"Oct 6 2015, 20:33"
% Table,Table 4 - Axis Inductance ((-Az*nc*(L+5*taus+Lec)/(bs*hs*kfill/2))/Im)
% Im,(-Az*nc*(L+5*taus+Lec)/(bs*hs*kfill/2))/Im (H)
0.2,0.03753630646667011
0.5111111111111111,0.03753630646667068
0.8222222222222222,0.03736350105988538
1.1333333333333333,0.03647856459059459
1.4444444444444444,0.03507536073981464
1.7555555555555555,0.03404191969632691
2.066666666666667,0.0332129211053175
2.377777777777778,0.032534339084632664
2.688888888888889,0.03196459641958827
3,0.03149727775329337
