% Model,RLM_v7.mph
% Version,COMSOL 4.3.0.151
% Date,"Oct 6 2015, 19:25"
% Table,Table 4 - Axis Inductance ((-Az*nc*(L+5*taus+Lec)/(bs*hs*kfill/2))/Im)
% Im,(-Az*nc*(L+5*taus+Lec)/(bs*hs*kfill/2))/Im (H)
0.2,0.03875887320538566
0.5111111111111111,0.038758873205385624
0.8222222222222222,0.038758873205385715
1.1333333333333333,0.03875887320538571
1.4444444444444444,0.038758873205385666
1.7555555555555555,0.03875887320538574
2.066666666666667,0.03875887320538562
2.377777777777778,0.03875887320538567
2.688888888888889,0.03875887320538562
3,0.03875887320538566
