% Model,RLM_v8.mph
% Version,COMSOL 4.3.0.151
% Date,"Oct 7 2015, 22:48"
% Table,Table 4 - Axis Inductance ((-Az*nc*(L+5*taus+Lec)/(bs*hs*kfill/2))/Im)
% Im,(-Az*nc*(L+5*taus+Lec)/(bs*hs*kfill/2))/Im (H)
0.2,0.30711038284201436
0.5111111111111111,0.30711038284201475
0.8222222222222222,0.3070836950022781
1.1333333333333333,0.30615066964690135
1.4444444444444444,0.2902169197207067
1.7555555555555555,0.26260974703701095
2.066666666666667,0.23349354840047531
2.377777777777778,0.21070506149350693
2.688888888888889,0.19045254755285168
3,0.17418070095339372
