% Model,RLM_v8.mph
% Version,COMSOL 4.3.0.151
% Date,"Oct 7 2015, 21:55"
% Table,Table 4 - Axis Inductance ((-Az*nc*(L+5*taus+Lec)/(bs*hs*kfill/2))/Im)
% Im,(-Az*nc*(L+5*taus+Lec)/(bs*hs*kfill/2))/Im (H)
0.2,0.04858027816836095
0.5111111111111111,0.048569615427387365
0.8222222222222222,0.04819066211038647
1.1333333333333333,0.04665357785620503
1.4444444444444444,0.04494741623854752
1.7555555555555555,0.0435935273607265
2.066666666666667,0.04251945303777132
2.377777777777778,0.041776668020297024
2.688888888888889,0.04124106252239329
3,0.04071782299018516
