% Model,RLM_v7.mph
% Version,COMSOL 4.3.0.151
% Date,"Oct 6 2015, 15:09"
% Table,Table 4 - Axis Inductance ((-Az*nc*(L+5*taus+Lec)/(bs*hs*kfill/2))/Im)
% Im,(-Az*nc*(L+5*taus+Lec)/(bs*hs*kfill/2))/Im (H)
0.2,0.1612796806908889
0.5111111111111111,0.16127968069088908
0.8222222222222222,0.16007749508862326
1.1333333333333333,0.15227945474229554
1.4444444444444444,0.1373695845328832
1.7555555555555555,0.12289991844448303
2.066666666666667,0.10970553539414404
2.377777777777778,0.09880924815917876
2.688888888888889,0.08921051245988143
3,0.08173114340567393
